,Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,year
552,,,,,,,,,,,0.12,,2018
553,,,,,,,,,,,0.055,,2018
554,,,,,,,,,,,0.026,,2018
555,,,,,,,,,,,0.029,,2018
556,,,,,,,,,,,0.031,,2018
557,,,,,,,,,,,0.187,,2018
558,,,,,,,,,,,0.173,,2018
559,,,,,,,,,,,0.13,,2018
560,,,,,,,,,,,0.201,,2018
561,,,,,,,,,,,0.281,,2018
562,,,,,,,,,,,0.216,,2018
563,,,,,,,,,,,0.253,,2018
564,,,,,,,,,,,0.177,,2018
565,,,,,,,,,,,0.484,,2018
566,,,,,,,,,,,0.364,,2018
567,,,,,,,,,,,0.238,,2018
568,,,,,,,,,,,0.183,,2018
569,,,,,,,,,,,0.064,,2018
570,,,,,,,,,,,0.302,,2018
571,,,,,,,,,,,0.056,,2018
572,,,,,,,,,,,0.032,,2018
573,,,,,,,,,,,0.086,,2018
574,,,,,,,,,,,0.103,,2018
575,,,,,,,,,,,0.282,,2018
576,,,,,,,,,,,0.146,,2018
577,,,,,,,,,,,0.212,,2018
578,,,,,,,,,,,0.138,,2018
579,,,,,,,,,,,0.23,,2018
580,,,,,,,,,,,0.04,,2018
581,,,,,,,,,,,0.149,,2018
582,,,,,,,,,,,0.238,,2018
583,,,,,,,,,,,0.091,,2018
584,,,,,,,,,,,0.153,,2018
585,,,,,,,,,,,0.307,,2018
586,,,,,,,,,,,0.148,,2018
587,,,,,,,,,,,0.139,,2018
588,,,,,,,,,,,0.051,,2018
589,,,,,,,,,,,0.256,,2018
590,,,,,,,,,,,0.175,,2018
591,,,,,,,,,,,0.092,,2018
592,,,,,,,,,,,0.206,,2018
593,,,,,,,,,,,0.352,,2018
594,,,,,,,,,,,0.221,,2018
595,,,,,,,,,,,0.134,,2018
596,,,,,,,,,,,0.22,,2018
597,,,,,,,,,,,0.038,,2018
598,,,,,,,,,,,0.077,,2018
599,,,,,,,,,,,0.598,,2018
600,,,,,,,,,,,0.181,,2018
601,,,,,,,,,,,0.197,,2018
602,,,,,,,,,,,0.172,,2018
603,,,,,,,,,,,0.175,,2018
604,,,,,,,,,,,0.259,,2018
605,,,,,,,,,,,0.163,,2018
606,,,,,,,,,,,0.134,,2018
607,,,,,,,,,,,0.187,,2018
608,,,,,,,,,,,0.158,,2018
609,,,,,,,,,,,0.185,,2018
610,,,,,,,,,,,0.116,,2018
611,,,,,,,,,,,0.079,,2018
612,,,,,,,,,,,0.155,,2018
613,,,,,,,,,,,0.132,,2018
614,,,,,,,,,,,0.191,,2018
615,,,,,,,,,,,0.042,,2018
616,,,,,,,,,,,0.21,,2018
617,,,,,,,,,,,0.392,,2018
618,,,,,,,,,,,0.206,,2018
619,,,,,,,,,,,0.376,,2018
620,,,,,,,,,,,0.2,,2018
621,,,,,,,,,,,0.083,,2018
622,,,,,,,,,,,0.27,,2018
623,,,,,,,,,,,0.224,,2018
624,,,,,,,,,,,0.218,,2018
625,,,,,,,,,,,0.149,,2018
626,,,,,,,,,,,0.153,,2019
627,,,,,,,,,,,0.252,,2019
628,,,,,,,,,,,0.271,,2019
629,,,,,,,,,,,0.354,,2019
630,,,,,,,,,,,0.322,,2019
631,,,,,,,,,,,0.263,,2019
632,,,,,,,,,,,0.267,,2019
633,,,,,,,,,,,0.33,,2019
634,,,,,,,,,,,0.285,,2019
635,,,,,,,,,,,0.244,,2019
636,,,,,,,,,,,0.332,,2019
637,,,,,,,,,,,0.144,,2019
638,,,,,,,,,,,0.261,,2019
639,,,,,,,,,,,0.194,,2019
640,,,,,,,,,,,0.348,,2019
641,,,,,,,,,,,0.298,,2019
642,,,,,,,,,,,0.261,,2019
643,,,,,,,,,,,0.16,,2019
644,,,,,,,,,,,0.28,,2019
645,,,,,,,,,,,0.046,,2019
646,,,,,,,,,,,0.262,,2019
647,,,,,,,,,,,0.375,,2019
648,,,,,,,,,,,0.074,,2019
649,,,,,,,,,,,0.111,,2019
650,,,,,,,,,,,0.242,,2019
651,,,,,,,,,,,0.187,,2019
652,,,,,,,,,,,0.175,,2019
653,,,,,,,,,,,0.08,,2019
654,,,,,,,,,,,0.22,,2019
655,,,,,,,,,,,0.153,,2019
656,,,,,,,,,,,0.109,,2019
657,,,,,,,,,,,0.099,,2019
658,,,,,,,,,,,0.127,,2019
659,,,,,,,,,,,0.271,,2019
660,,,,,,,,,,,0.093,,2019
661,,,,,,,,,,,0.158,,2019
662,,,,,,,,,,,0.255,,2019
663,,,,,,,,,,,0.121,,2019
664,,,,,,,,,,,0.185,,2019
665,,,,,,,,,,,0.117,,2019
666,,,,,,,,,,,0.322,,2019
667,,,,,,,,,,,0.043,,2019
668,,,,,,,,,,,0.099,,2019
669,,,,,,,,,,,0.144,,2019
670,,,,,,,,,,,0.2,,2019
671,,,,,,,,,,,0.262,,2019
672,,,,,,,,,,,0.066,,2019
673,,,,,,,,,,,0.083,,2019
674,,,,,,,,,,,0.19,,2019
675,,,,,,,,,,,0.126,,2019
676,,,,,,,,,,,0.142,,2019
677,,,,,,,,,,,0.359,,2019
678,,,,,,,,,,,0.075,,2019
679,,,,,,,,,,,0.175,,2019
680,,,,,,,,,,,0.103,,2019
681,,,,,,,,,,,0.107,,2019
682,,,,,,,,,,,0.215,,2019
683,,,,,,,,,,,0.069,,2019
684,,,,,,,,,,,0.246,,2019
685,,,,,,,,,,,0.146,,2019
686,,,,,,,,,,,0.137,,2019
687,,,,,,,,,,,0.081,,2019
688,,,,,,,,,,,0.184,,2019
689,,,,,,,,,,,0.191,,2019
690,,,,,,,,,,,0.083,,2019
691,,,,,,,,,,,0.047,,2019
692,,,,,,,,,,,0.22,,2019
693,,,,,,,,,,,0.082,,2019
694,,,,,,,,,,,0.117,,2019
695,,,,,,,,,,,0.137,,2019
696,,,,,,,,,,,0.181,,2019
697,,,,,,,,,,,0.133,,2019
698,,,,,,,,,,,0.142,,2019
699,,,,,,,,,,,0.23,,2019
700,,,,,,,,,,,0.119,,2019
701,,,,,,,,,,,0.258,,2019
702,,,,,,,,,,,0.113,,2019
703,,,,,,,,,,,0.263,,2019
704,,,,,,,,,,,0.083,,2019
705,,,,,,,,,,,0.26,,2019
706,,,,,,,,,,,0.094,,2019
707,,,,,,,,,,,0,,2019
708,,,,,,,,,,,0.235,,2019
709,,,,,,,,,,,0.185,,2019
710,,,,,,,,,,,0.215,,2019
711,,,,,,,,,,,0.3,,2019
712,,,,,,,,,,,0.244,,2019
713,,,,,,,,,,,0.073,,2019
714,,,,,,,,,,,0.036,,2019
715,,,,,,,,,,,0.035,,2019
716,,,,,,,,,,,0.166,,2019
717,,,,,,,,,,,0.498,,2019
718,,,,,,,,,,,0.058,,2019
719,,,,,,,,,,,0.147,,2019
720,,,,,,,,,,,0.37,,2019
721,,,,,,,,,,,0.187,,2019
722,,,,,,,,,,,0.081,,2019
723,,,,,,,,,,,0.245,,2019
724,,,,,,,,,,,0.154,,2019
725,,,,,,,,,,,0.285,,2019
726,,,,,,,,,,,0.11,,2019
727,,,,,,,,,,,0.175,,2019
728,,,,,,,,,,,0.105,,2019
729,,,,,,,,,,,0.043,,2019
730,,,,,,,,,,,0.266,,2019
731,,,,,,,,,,,0.13,,2019
732,,,,,,,,,,,0.178,,2019
733,,,,,,,,,,,0.064,,2019
734,,,,,,,,,,,0.232,,2019
735,,,,,,,,,,,0.103,,2019
736,,,,,,,,,,,0.153,,2019
737,,,,,,,,,,,0.243,,2019
738,,,,,,,,,,,0.07,,2019
739,,,,,,,,,,,0.188,,2019
740,,,,,,,,,,,0.177,,2019
741,,,,,,,,,,,0.095,,2019
742,,,,,,,,,,,0.27,,2019
743,,,,,,,,,,,0.207,,2019
744,,,,,,,,,,,0.043,,2019
745,,,,,,,,,,,0.269,,2019
746,,,,,,,,,,,0.372,,2019
747,,,,,,,,,,,0.106,,2019
748,,,,,,,,,,,0.197,,2019
749,,,,,,,,,,,0.059,,2019
750,,,,,,,,,,,0.166,,2019
751,,,,,,,,,,,0.148,,2019
752,,,,,,,,,,,0.212,,2019
753,,,,,,,,,,,0.153,,2019
754,,,,,,,,,,,0.252,,2019
755,,,,,,,,,,,0.244,,2019
756,,,,,,,,,,,0.566,,2019
757,,,,,,,,,,,0.198,,2019
758,,,,,,,,,,,0.187,,2019
759,,,,,,,,,,,0.209,,2019
760,,,,,,,,,,,0.074,,2019
761,,,,,,,,,,,0.252,,2019
762,,,,,,,,,,,0.076,,2019
763,,,,,,,,,,,0.247,,2019
764,,,,,,,,,,,0.177,,2019
765,,,,,,,,,,,0.2,,2019
766,,,,,,,,,,,0.233,,2019
767,,,,,,,,,,,0.275,,2019
768,,,,,,,,,,,0.169,,2019
769,,,,,,,,,,,0.107,,2019
770,,,,,,,,,,,0.176,,2019
771,,,,,,,,,,,0.151,,2019
772,,,,,,,,,,,0.419,,2019
773,,,,,,,,,,,0.025,,2019
774,,,,,,,,,,,0.331,,2019
775,,,,,,,,,,,0.218,,2019
776,,,,,,,,,,,0.108,,2019
777,,,,,,,,,,,0.217,,2019
778,,,,,,,,,,,0.276,,2019
779,,,,,,,,,,,0.158,,2019
780,,,,,,,,,,,0.235,,2019
781,,,,,,,,,,,0.202,,2019
782,,,,,,,,,,,-0.059482019,,2020
783,,,,,,,,,,,0.066201776,,2020
784,,,,,,,,,,,0.105911039,,2020
785,,,,,,,,,,,0.246944219,,2020
786,,,,,,,,,,,0.13453263,,2020
787,,,,,,,,,,,0.20761244,,2020
788,,,,,,,,,,,0.111614622,,2020
789,,,,,,,,,,,0.191598073,,2020
790,,,,,,,,,,,0.085429221,,2020
791,,,,,,,,,,,-0.004620588,,2020
792,,,,,,,,,,,0.124770768,,2020
793,,,,,,,,,,,0.19046016,,2020
794,,,,,,,,,,,0.263732493,,2020
795,,,,,,,,,,,0.10259372,,2020
796,,,,,,,,,,,-0.10242971,,2020
797,,,,,,,,,,,0.145784974,,2020
798,,,,,,,,,,,0.080179386,,2020
799,,,,,,,,,,,0.149891734,,2020
800,,,,,,,,,,,-0.230861515,,2020
801,,,,,,,,,,,-0.078691199,,2020
802,,,,,,,,,,,0.123450845,,2020
803,,,,,,,,,,,0.214965805,,2020
804,,,,,,,,,,,-0.130641967,,2020
805,,,,,,,,,,,-0.175266623,,2020
806,,,,,,,,,,,-0.073198698,,2020
807,,,,,,,,,,,-0.101103112,,2020
808,,,,,,,,,,,-0.168695062,,2020
809,,,,,,,,,,,-0.050961714,,2020
810,,,,,,,,,,,-0.042938665,,2020
811,,,,,,,,,,,-0.043460999,,2020
812,,,,,,,,,,,0.029879224,,2020
813,,,,,,,,,,,-0.101812392,,2020
814,,,,,,,,,,,-0.080603383,,2020
815,,,,,,,,,,,-0.121072978,,2020
816,,,,,,,,,,,0.190933764,,2020
817,,,,,,,,,,,-0.153927714,,2020
818,,,,,,,,,,,-0.124409303,,2020
819,,,,,,,,,,,0.248427153,,2020
820,,,,,,,,,,,-0.065668367,,2020
821,,,,,,,,,,,0.13372919,,2020
822,,,,,,,,,,,-0.219725296,,2020
823,,,,,,,,,,,0.000526841,,2020
824,,,,,,,,,,,-0.205084071,,2020
825,,,,,,,,,,,-0.161235645,,2020
826,,,,,,,,,,,0.043731496,,2020
827,,,,,,,,,,,0.020959141,,2020
828,,,,,,,,,,,-0.19781521,,2020
829,,,,,,,,,,,-0.100184701,,2020
830,,,,,,,,,,,-0.018318573,,2020
831,,,,,,,,,,,-0.068488635,,2020
832,,,,,,,,,,,-0.111697771,,2020
833,,,,,,,,,,,-0.105463006,,2020
834,,,,,,,,,,,-0.194323018,,2020
835,,,,,,,,,,,0.268685192,,2020
836,,,,,,,,,,,-0.194913864,,2020
837,,,,,,,,,,,0.086969115,,2020
838,,,,,,,,,,,-0.186888844,,2020
839,,,,,,,,,,,-0.127014965,,2020
840,,,,,,,,,,,-0.220714301,,2020
841,,,,,,,,,,,-0.125106767,,2020
842,,,,,,,,,,,-0.043404032,,2020
843,,,,,,,,,,,-0.246910349,,2020
844,,,,,,,,,,,-0.16238822,,2020
845,,,,,,,,,,,-0.073676221,,2020
846,,,,,,,,,,,-0.09168113,,2020
847,,,,,,,,,,,0.04489987,,2020
848,,,,,,,,,,,0.007997713,,2020
849,,,,,,,,,,,-0.131263286,,2020
850,,,,,,,,,,,0.098274559,,2020
851,,,,,,,,,,,-0.037741039,,2020
852,,,,,,,,,,,-0.025088511,,2020
853,,,,,,,,,,,-0.075600356,,2020
854,,,,,,,,,,,-0.151153743,,2020
855,,,,,,,,,,,0.154772058,,2020
856,,,,,,,,,,,-0.164926544,,2020
857,,,,,,,,,,,0.000227159,,2020
858,,,,,,,,,,,-0.300907373,,2020
859,,,,,,,,,,,0.134979904,,2020
860,,,,,,,,,,,-0.128538325,,2020
861,,,,,,,,,,,-0.085054487,,2020
862,,,,,,,,,,,0.098093867,,2020
863,,,,,,,,,,,0.114726797,,2020
864,,,,,,,,,,,-0.094533332,,2020
865,,,,,,,,,,,0.519586504,,2020
866,,,,,,,,,,,-0.043991156,,2020
867,,,,,,,,,,,-0.003537213,,2020
868,,,,,,,,,,,0.038085498,,2020
869,,,,,,,,,,,-0.123674095,,2020
870,,,,,,,,,,,-0.240255281,,2020
871,,,,,,,,,,,-0.019877451,,2020
872,,,,,,,,,,,0.094170853,,2020
873,,,,,,,,,,,0.154168829,,2020
874,,,,,,,,,,,-0.171046436,,2020
875,,,,,,,,,,,-0.18142575,,2020
876,,,,,,,,,,,0.187671542,,2020
877,,,,,,,,,,,-0.143908441,,2020
878,,,,,,,,,,,-0.240377247,,2020
879,,,,,,,,,,,-0.00149645,,2020
880,,,,,,,,,,,-0.169090509,,2020
881,,,,,,,,,,,-0.121105164,,2020
882,,,,,,,,,,,-0.052335154,,2020
883,,,,,,,,,,,0.076328471,,2020
884,,,,,,,,,,,0.013860817,,2020
885,,,,,,,,,,,0.11137148,,2020
886,,,,,,,,,,,-0.042309489,,2020
887,,,,,,,,,,,0.051911179,,2020
888,,,,,,,,,,,-0.033664726,,2020
889,,,,,,,,,,,-0.222261623,,2020
890,,,,,,,,,,,-0.109777324,,2020
891,,,,,,,,,,,-0.06956476,,2020
892,,,,,,,,,,,-0.06121527,,2020
893,,,,,,,,,,,-0.019080516,,2020
894,,,,,,,,,,,0.343198717,,2020
895,,,,,,,,,,,-0.044366926,,2020
896,,,,,,,,,,,0.033745807,,2020
897,,,,,,,,,,,-0.13877961,,2020
898,,,,,,,,,,,-0.22892037,,2020
899,,,,,,,,,,,0.117891103,,2020
900,,,,,,,,,,,-0.162565202,,2020
901,,,,,,,,,,,0.032375868,,2020
902,,,,,,,,,,,0.294681519,,2020
903,,,,,,,,,,,-0.18530646,,2020
904,,,,,,,,,,,-0.030933706,,2020
905,,,,,,,,,,,0.04227322,,2020
906,,,,,,,,,,,-0.162079096,,2020
907,,,,,,,,,,,0.099487431,,2020
908,,,,,,,,,,,0.017834719,,2020
909,,,,,,,,,,,-0.216413811,,2020
910,,,,,,,,,,,-0.106008142,,2020
911,,,,,,,,,,,0.081129618,,2020
912,,,,,,,,,,,0.083637655,,2020
913,,,,,,,,,,,-0.19920142,,2020
914,,,,,,,,,,,0.560663998,,2020
915,,,,,,,,,,,0.090008408,,2020
916,,,,,,,,,,,0.002667875,,2020
917,,,,,,,,,,,0.043377332,,2020
918,,,,,,,,,,,-0.011823639,,2020
919,,,,,,,,,,,-0.196878314,,2020
920,,,,,,,,,,,0.088660747,,2020
921,,,,,,,,,,,-0.017551597,,2020
922,,,,,,,,,,,0.078037128,,2020
923,,,,,,,,,,,0.40053457,,2020
924,,,,,,,,,,,-0.145732045,,2020
925,,,,,,,,,,,0.057551607,,2020
926,,,,,,,,,,,0.021433279,,2020
927,,,,,,,,,,,-0.157735437,,2020
928,,,,,,,,,,,-0.250394493,,2020
929,,,,,,,,,,,0.109668687,,2020
930,,,,,,,,,,,0.082410358,,2020
931,,,,,,,,,,,0.055483952,,2020
932,,,,,,,,,,,-0.072063953,,2020
933,,,,,,,,,,,0.016518548,,2020
934,,,,,,,,,,,-0.0964294,,2020
935,,,,,,,,,,,-0.098,,2021
936,,,,,,,,,,,0.03,,2021
937,,,,,,,,,,,0.025,,2021
938,,,,,,,,,,,0.16,,2021
939,,,,,,,,,,,0.175,,2021
940,,,,,,,,,,,0.093,,2021
941,,,,,,,,,,,0.086,,2021
942,,,,,,,,,,,-0.034,,2021
943,,,,,,,,,,,0.134,,2021
944,,,,,,,,,,,0.042,,2021
945,,,,,,,,,,,0.159,,2021
946,,,,,,,,,,,0.031,,2021
947,,,,,,,,,,,0.011,,2021
948,,,,,,,,,,,0.089,,2021
949,,,,,,,,,,,0.077,,2021
950,,,,,,,,,,,-0.126,,2021
951,,,,,,,,,,,0.233,,2021
952,,,,,,,,,,,-0.208,,2021
953,,,,,,,,,,,0.098,,2021
954,,,,,,,,,,,-0.153,,2021
955,,,,,,,,,,,-0.147,,2021
956,,,,,,,,,,,0.089,,2021
957,,,,,,,,,,,0.133,,2021
958,,,,,,,,,,,-0.07,,2021
959,,,,,,,,,,,0.074,,2021
960,,,,,,,,,,,-0.149,,2021
961,,,,,,,,,,,-0.081,,2021
962,,,,,,,,,,,-0.084,,2021
963,,,,,,,,,,,-0.101,,2021
964,,,,,,,,,,,-0.038,,2021
965,,,,,,,,,,,-0.092,,2021
966,,,,,,,,,,,-0.018,,2021
967,,,,,,,,,,,0.257,,2021
968,,,,,,,,,,,-0.124,,2021
969,,,,,,,,,,,-0.071,,2021
970,,,,,,,,,,,-0.147,,2021
971,,,,,,,,,,,-0.137,,2021
972,,,,,,,,,,,-0.203,,2021
973,,,,,,,,,,,-0.015,,2021
974,,,,,,,,,,,-0.106,,2021
975,,,,,,,,,,,-0.166,,2021
976,,,,,,,,,,,0.311,,2021
977,,,,,,,,,,,-0.044,,2021
978,,,,,,,,,,,-0.165,,2021
979,,,,,,,,,,,-0.069,,2021
980,,,,,,,,,,,-0.219,,2021
981,,,,,,,,,,,-0.104,,2021
982,,,,,,,,,,,0.002,,2021
983,,,,,,,,,,,-0.11,,2021
984,,,,,,,,,,,-0.054,,2021
985,,,,,,,,,,,-0.162,,2021
986,,,,,,,,,,,-0.135,,2021
987,,,,,,,,,,,-0.186,,2021
988,,,,,,,,,,,0.287,,2021
989,,,,,,,,,,,0.02,,2021
990,,,,,,,,,,,-0.258,,2021
991,,,,,,,,,,,-0.182,,2021
992,,,,,,,,,,,-0.244,,2021
993,,,,,,,,,,,0.081,,2021
994,,,,,,,,,,,-0.118,,2021
995,,,,,,,,,,,-0.097,,2021
996,,,,,,,,,,,-0.083,,2021
997,,,,,,,,,,,-0.154,,2021
998,,,,,,,,,,,0.113,,2021
999,,,,,,,,,,,-0.079,,2021
1000,,,,,,,,,,,-0.124,,2021
1001,,,,,,,,,,,0.119,,2021
1002,,,,,,,,,,,-0.288,,2021
1003,,,,,,,,,,,-0.077,,2021
1004,,,,,,,,,,,0.116,,2021
1005,,,,,,,,,,,0.028,,2021
1006,,,,,,,,,,,-0.034,,2021
1007,,,,,,,,,,,-0.133,,2021
1008,,,,,,,,,,,0.012,,2021
1009,,,,,,,,,,,-0.18,,2021
1010,,,,,,,,,,,-0.111,,2021
1011,,,,,,,,,,,0.067,,2021
1012,,,,,,,,,,,-0.056,,2021
1013,,,,,,,,,,,-0.098,,2021
1014,,,,,,,,,,,-0.087,,2021
1015,,,,,,,,,,,0.125,,2021
1016,,,,,,,,,,,0.542,,2021
1017,,,,,,,,,,,-0.068,,2021
1018,,,,,,,,,,,-0.146,,2021
1019,,,,,,,,,,,-0.016,,2021
1020,,,,,,,,,,,-0.168,,2021
1021,,,,,,,,,,,0.152,,2021
1022,,,,,,,,,,,-0.096,,2021
1023,,,,,,,,,,,0.024,,2021
1024,,,,,,,,,,,-0.223,,2021
1025,,,,,,,,,,,0.026,,2021
1026,,,,,,,,,,,-0.046,,2021
1027,,,,,,,,,,,-0.03,,2021
1028,,,,,,,,,,,0.038,,2021
1029,,,,,,,,,,,0.123,,2021
1030,,,,,,,,,,,0.018,,2021
1031,,,,,,,,,,,0.273,,2021
1032,,,,,,,,,,,0.424,,2021
1033,,,,,,,,,,,-0.034,,2021
1034,,,,,,,,,,,0.123,,2021
1035,,,,,,,,,,,-0.041,,2021
1036,,,,,,,,,,,0.095,,2021
1037,,,,,,,,,,,-0.067,,2021
1038,,,,,,,,,,,-0.139,,2021
1039,,,,,,,,,,,0.098,,2021
1040,,,,,,,,,,,-0.236,,2021
1041,,,,,,,,,,,-0.169,,2021
1042,,,,,,,,,,,-0.238,,2021
1043,,,,,,,,,,,-0.067,,2021
1044,,,,,,,,,,,-0.011,,2021
1045,,,,,,,,,,,-0.053,,2021
1046,,,,,,,,,,,-0.2,,2021
1047,,,,,,,,,,,-0.009,,2021
1048,,,,,,,,,,,0.034,,2021
1049,,,,,,,,,,,0.061,,2021
1050,,,,,,,,,,,0.037,,2021
1051,,,,,,,,,,,-0.036,,2021
1052,,,,,,,,,,,0.218,,2021
1053,,,,,,,,,,,0.122,,2021
1054,,,,,,,,,,,0.05,,2021
1055,,,,,,,,,,,0.287,,2021
1056,,,,,,,,,,,-0.201,,2021
1057,,,,,,,,,,,-0.073,,2021
1058,,,,,,,,,,,-0.149,,2021
1059,,,,,,,,,,,-0.163,,2021
1060,,,,,,,,,,,0.509,,2021
1061,,,,,,,,,,,-0.167,,2021
1062,,,,,,,,,,,0.041,,2021
1063,,,,,,,,,,,0.079,,2021
1064,,,,,,,,,,,-0.185,,2021
1065,,,,,,,,,,,0.082,,2021
1066,,,,,,,,,,,-0.182,,2021
1067,,,,,,,,,,,0.082,,2021
1068,,,,,,,,,,,-0.106,,2021
1069,,,,,,,,,,,-0.005,,2021
1070,,,,,,,,,,,0.032,,2021
1071,,,,,,,,,,,0.061,,2021
1072,,,,,,,,,,,0.084,,2021
1073,,,,,,,,,,,0.089,,2021
1074,,,,,,,,,,,-0.024,,2021
1075,,,,,,,,,,,-0.147,,2021
1076,,,,,,,,,,,0.183,,2021
1077,,,,,,,,,,,0.422,,2021
1078,,,,,,,,,,,0.038,,2021
1079,,,,,,,,,,,-0.131,,2021
1080,,,,,,,,,,,-0.246,,2021
1081,,,,,,,,,,,0.061,,2021
1082,,,,,,,,,,,-0.047,,2021
1083,,,,,,,,,,,-0.102,,2021
1084,Finland,,,,,,,,,,,,2022
1085,Denmark,,,,,,,,,,,,2022
1086,Iceland,,,,,,,,,,,,2022
1087,Switzerland,,,,,,,,,,,,2022
1088,Netherlands,,,,,,,,,,,,2022
1089,Luxembourg*,,,,,,,,,,,,2022
1090,Sweden,,,,,,,,,,,,2022
1091,Norway,,,,,,,,,,,,2022
1092,Israel,,,,,,,,,,,,2022
1093,New Zealand,,,,,,,,,,,,2022
1094,Austria,,,,,,,,,,,,2022
1095,Australia,,,,,,,,,,,,2022
1096,Ireland,,,,,,,,,,,,2022
1097,Germany,,,,,,,,,,,,2022
1098,Canada,,,,,,,,,,,,2022
1099,United States,,,,,,,,,,,,2022
1100,United Kingdom,,,,,,,,,,,,2022
1101,Czechia,,,,,,,,,,,,2022
1102,Belgium,,,,,,,,,,,,2022
1103,France,,,,,,,,,,,,2022
1104,Bahrain,,,,,,,,,,,,2022
1105,Slovenia,,,,,,,,,,,,2022
1106,Costa Rica,,,,,,,,,,,,2022
1107,United Arab Emirates,,,,,,,,,,,,2022
1108,Saudi Arabia,,,,,,,,,,,,2022
1109,Taiwan Province of China,,,,,,,,,,,,2022
1110,Singapore,,,,,,,,,,,,2022
1111,Romania,,,,,,,,,,,,2022
1112,Spain,,,,,,,,,,,,2022
1113,Uruguay,,,,,,,,,,,,2022
1114,Italy,,,,,,,,,,,,2022
1115,Kosovo,,,,,,,,,,,,2022
1116,Malta,,,,,,,,,,,,2022
1117,Lithuania,,,,,,,,,,,,2022
1118,Slovakia,,,,,,,,,,,,2022
1119,Estonia,,,,,,,,,,,,2022
1120,Panama,,,,,,,,,,,,2022
1121,Brazil,,,,,,,,,,,,2022
1122,Guatemala*,,,,,,,,,,,,2022
1123,Kazakhstan,,,,,,,,,,,,2022
1124,Cyprus,,,,,,,,,,,,2022
1125,Latvia,,,,,,,,,,,,2022
1126,Serbia,,,,,,,,,,,,2022
1127,Chile,,,,,,,,,,,,2022
1128,Nicaragua,,,,,,,,,,,,2022
1129,Mexico,,,,,,,,,,,,2022
1130,Croatia,,,,,,,,,,,,2022
1131,Poland,,,,,,,,,,,,2022
1132,El Salvador,,,,,,,,,,,,2022
1133,Kuwait*,,,,,,,,,,,,2022
1134,Hungary,,,,,,,,,,,,2022
1135,Mauritius,,,,,,,,,,,,2022
1136,Uzbekistan,,,,,,,,,,,,2022
1137,Japan,,,,,,,,,,,,2022
1138,Honduras,,,,,,,,,,,,2022
1139,Portugal,,,,,,,,,,,,2022
1140,Argentina,,,,,,,,,,,,2022
1141,Greece,,,,,,,,,,,,2022
1142,South Korea,,,,,,,,,,,,2022
1143,Philippines,,,,,,,,,,,,2022
1144,Thailand,,,,,,,,,,,,2022
1145,Moldova,,,,,,,,,,,,2022
1146,Jamaica,,,,,,,,,,,,2022
1147,Kyrgyzstan,,,,,,,,,,,,2022
1148,Belarus*,,,,,,,,,,,,2022
1149,Colombia,,,,,,,,,,,,2022
1150,Bosnia and Herzegovina,,,,,,,,,,,,2022
1151,Mongolia,,,,,,,,,,,,2022
1152,Dominican Republic,,,,,,,,,,,,2022
1153,Malaysia,,,,,,,,,,,,2022
1154,Bolivia,,,,,,,,,,,,2022
1155,China,,,,,,,,,,,,2022
1156,Paraguay,,,,,,,,,,,,2022
1157,Peru,,,,,,,,,,,,2022
1158,Montenegro,,,,,,,,,,,,2022
1159,Ecuador,,,,,,,,,,,,2022
1160,Vietnam,,,,,,,,,,,,2022
1161,Turkmenistan*,,,,,,,,,,,,2022
1162,North Cyprus*,,,,,,,,,,,,2022
1163,Russia,,,,,,,,,,,,2022
1164,Hong Kong S.A.R. of China,,,,,,,,,,,,2022
1165,Armenia,,,,,,,,,,,,2022
1166,Tajikistan,,,,,,,,,,,,2022
1167,Nepal,,,,,,,,,,,,2022
1168,Bulgaria,,,,,,,,,,,,2022
1169,Libya*,,,,,,,,,,,,2022
1170,Indonesia,,,,,,,,,,,,2022
1171,Ivory Coast,,,,,,,,,,,,2022
1172,North Macedonia,,,,,,,,,,,,2022
1173,Albania,,,,,,,,,,,,2022
1174,South Africa,,,,,,,,,,,,2022
1175,Azerbaijan*,,,,,,,,,,,,2022
1176,Gambia*,,,,,,,,,,,,2022
1177,Bangladesh,,,,,,,,,,,,2022
1178,Laos,,,,,,,,,,,,2022
1179,Algeria,,,,,,,,,,,,2022
1180,Liberia*,,,,,,,,,,,,2022
1181,Ukraine,,,,,,,,,,,,2022
1182,Congo,,,,,,,,,,,,2022
1183,Morocco,,,,,,,,,,,,2022
1184,Mozambique,,,,,,,,,,,,2022
1185,Cameroon,,,,,,,,,,,,2022
1186,Senegal,,,,,,,,,,,,2022
1187,Niger*,,,,,,,,,,,,2022
1188,Georgia,,,,,,,,,,,,2022
1189,Gabon,,,,,,,,,,,,2022
1190,Iraq,,,,,,,,,,,,2022
1191,Venezuela,,,,,,,,,,,,2022
1192,Guinea,,,,,,,,,,,,2022
1193,Iran,,,,,,,,,,,,2022
1194,Ghana,,,,,,,,,,,,2022
1195,Turkey,,,,,,,,,,,,2022
1196,Burkina Faso,,,,,,,,,,,,2022
1197,Cambodia,,,,,,,,,,,,2022
1198,Benin,,,,,,,,,,,,2022
1199,Comoros*,,,,,,,,,,,,2022
1200,Uganda,,,,,,,,,,,,2022
1201,Nigeria,,,,,,,,,,,,2022
1202,Kenya,,,,,,,,,,,,2022
